Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe
Público Universitário,0400,Universidade da Beira Interior,9020,Ciência Política e Relações Internacionais,Ciência Política e Relações Internacionais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9020&code=0400
Público Universitário,0400,Universidade da Beira Interior,9351,Ciências Biomédicas,Ciências Biomédicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9351&code=0400
Público Universitário,0400,Universidade da Beira Interior,9023,Ciências da Comunicação,Ciências da Comunicação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9023&code=0400
Público Universitário,0400,Universidade da Beira Interior,9025,Ciências da Cultura,Ciências da Cultura,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9025&code=0400
Público Universitário,0400,Universidade da Beira Interior,9707,Ciências do Desporto,Ciências do Desporto,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9707&code=0400
Público Universitário,0400,Universidade da Beira Interior,9494,Ciências Farmacêuticas,Ciências Farmacêuticas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9494&code=0400
Público Universitário,0400,Universidade da Beira Interior,9048,Cinema,Cinema,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9048&code=0400
Público Universitário,0400,Universidade da Beira Interior,L331,Computação Criativa e Realidade Virtual,Computação Criativa e Realidade Virtual,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L331&code=0400
Público Universitário,0400,Universidade da Beira Interior,9074,Design Industrial,Design Industrial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9074&code=0400
Público Universitário,0400,Universidade da Beira Interior,9071,Design de Moda,Design de Moda,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9071&code=0400
Público Universitário,0400,Universidade da Beira Interior,9075,Design Multimédia,Design Multimédia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9075&code=0400
Público Universitário,0400,Universidade da Beira Interior,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0400
Público Universitário,0400,Universidade da Beira Interior,9740,Engenharia Aeronáutica,Engenharia Aeronáutica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9740&code=0400
Público Universitário,0400,Universidade da Beira Interior,9089,Engenharia Civil,Engenharia Civil,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9089&code=0400
Público Universitário,0400,Universidade da Beira Interior,9105,Engenharia Eletromecânica,Engenharia Eletromecânica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9105&code=0400
Público Universitário,0400,Universidade da Beira Interior,9112,Engenharia Eletrotécnica e de Computadores,Engenharia Eletrotécnica e de Computadores,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9112&code=0400
Público Universitário,0400,Universidade da Beira Interior,9104,Engenharia e Gestão Industrial,Engenharia e Gestão Industrial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9104&code=0400
Público Universitário,0400,Universidade da Beira Interior,9119,Engenharia Informática,Engenharia Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9119&code=0400
Público Universitário,0400,Universidade da Beira Interior,L295,Engenharia Mecânica Computacional,Engenharia Mecânica Computacional,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L295&code=0400
Público Universitário,0400,Universidade da Beira Interior,9918,Estudos Portugueses e Espanhóis,Estudos Portugueses e Espanhóis,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9918&code=0400
Público Universitário,0400,Universidade da Beira Interior,9139,Filosofia,Filosofia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9139&code=0400
Público Universitário,0400,Universidade da Beira Interior,L205,Física e Aplicações,Física e Aplicações,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L205&code=0400
Público Universitário,0400,Universidade da Beira Interior,9147,Gestão,Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9147&code=0400
Público Universitário,0400,Universidade da Beira Interior,L303,"Informática Web, Móvel e na Nuvem","Informática Web, Móvel e na Nuvem",https://www.dges.gov.pt/guias/detcursopi.asp?codc=L303&code=0400
Público Universitário,0400,Universidade da Beira Interior,L227,Inteligência Artificial e Ciência de Dados,Inteligência Artificial e Ciência de Dados,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L227&code=0400
Público Universitário,0400,Universidade da Beira Interior,9205,Marketing,Marketing,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9205&code=0400
Público Universitário,0400,Universidade da Beira Interior,9835,Matemática e Aplicações,Matemática e Aplicações,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9835&code=0400
Público Universitário,0400,Universidade da Beira Interior,9813,Medicina,Medicina,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9813&code=0400
Público Universitário,0400,Universidade da Beira Interior,8184,Optometria e Ciências da Visão,Optometria e Ciências da Visão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8184&code=0400
Público Universitário,0400,Universidade da Beira Interior,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=0400
Público Universitário,0400,Universidade da Beira Interior,9225,Química Industrial,Química Industrial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9225&code=0400
Público Universitário,0400,Universidade da Beira Interior,8408,Química Medicinal,Química Medicinal,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8408&code=0400
Público Universitário,0400,Universidade da Beira Interior,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=0400
Público Universitário,0400,Universidade da Beira Interior,L258,Tecnologia e Produto de Moda Sustentável,Tecnologia e Produto de Moda Sustentável,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L258&code=0400
